lon,lat
-166.6971,67.5164
-122.3095,40.644
-122.8386688,38.8419991
-152.7242,60.4331
-155.492492675781,19.1773338317871
-154.6009,57.4636
-120.83316666666667,45.205666666666666
-103.9788967,31.60949707
126.5285,4.7886
-153.4214,60.1047
-149.4667,62.9978
-148.3315,62.3832
-124.49316666666667,42.01233333333333
-152.6765,60.0572
-118.5911667,35.3611667
-122.7121667,38.7598333
-98.61933333,36.25166667
-151.6033,61.3081
127.0428,2.7358
-148.9742,59.4548
-151.1938,59.7689
20.9654,37.5621
-152.516,60.031
-147.6655,61.0195
-111.5975,41.1075
-119.7032,40.1055
-122.816,38.8323333
-117.4506667,35.6406667
67.3168,-9.0108
-111.5961667,41.1123333
125.0567,5.5924
-155.386505126953,19.2275009155273
-121.3525,36.7065
-151.767,60.5488
-103.3996415,31.30763371
-116.4041667,33.0586667
-151.3995,66.7692
-159.8786,54.4763
-159.7185,54.5094
44.8223,38.6392
-65.3226666666667,18.8663333333333
-152.2791,61.4027
126.9825,2.8499
-91.7543,15.3662
-163.5493,53.4106
-155.3574,58.167
-152.7654,60.2224
-119.312,34.4383333
-153.3756,60.1002
-152.5734,59.8837
-148.2522,63.612
-150.4476,63.0323
-152.7196,60.4205
-147.3596,60.4562
-116.054,33.7311667
-150.6102,62.0259
-155.411166666667,19.2411666666667
-66.8943333333333,17.9656666666667
129.3771,-7.1946
-122.7223333,38.7815
-122.7263333,38.7815
126.8881,2.9066
-176.2081,51.9023
-122.8191667,39.7221667
-122.7953339,38.8154984
-122.7958333,38.8156667
-149.2716,56.1666
-152.4325,60.4293
-150.5261,62.2782
-150.721,60.7828
-152.4616,59.8808
-151.0981,62.301
-161.2169,54.9399
-122.8181667,38.8028333
-118.2317,38.0816
-155.488494873047,19.1571674346924
-124.3973333,40.5355
-153.0522,59.6216
-154.952,57.4317
-115.5255,32.8896667
80.0799,35.811
-153.0248,59.4314
-117.8667,38.1746
-104.150415,31.70324138
-177.8939,51.5864
142.1496,30.0471
-117.5568333,35.7143333
-104.1192007,31.61651726
-152.485,63.7925
129.9557,-6.9371
-104.122303,31.61799746
-155.463500976562,19.2098331451416
-122.0645,42.2935
-104.1159948,31.62020785
-152.1917,60.5211
-149.165,66.1209
-112.1836667,41.5003333
-139.8982,59.9763
-146.9306,61.1852
-122.7403336,38.7981682
-105.3381,43.7237
-157.4298,57.1108
-152.9137,60.0692
-117.838,38.1637
-153.3411,58.1382
115.8208,-10.1625
-152.9673,56.9407
-148.2265,63.629
-122.7405,38.7943333
-122.7373333,38.7956667
-122.7381667,38.7941667
-117.5238333,35.6758333
-122.7371667,38.7961667
-122.06483333333334,42.29683333333333
-122.7406667,38.795
-155.498333333333,19.1628333333333
-156.6347,56.4438
-147.2945,63.5153
-122.7216667,38.7958333
-66.3143333333333,19.5878333333333
-146.73,61.1969
-122.80867,38.8358345
44.8287,38.6005
-122.69183333333334,45.529333333333334
-167.1601,53.6893
-178.4214,-20.8326
-148.2508,66.0567
-151.6372,63.2733
-150.9066,62.9429
-139.7489,60.2095
-152.1201,61.9151
128.255,1.9439
-155.388336181641,19.2311668395996
154.7385,-7.8024
-105.3492,43.772
-152.3157,59.8432
-155.346160888672,19.1758327484131
-155.498336791992,19.117000579834
-151.821,61.6004
44.9282,38.4811
-151.5712,63.2523
44.9097,38.4199
-165.7994,53.8595
-156.903,58.4979
-145.4309,63.3134
157.306,52.2921
-117.8669,38.1781
-177.878,-18.214
-117.8643,38.1734
128.8589,-2.4991
-150.9553,62.2382
-151.6773,60.7932
-117.89,36.2235
-154.6117,58.8832
-128.4935,49.0299
-150.8351,61.2847
-176.6489,51.7802
129.8483,-6.5592
